NR_157005	Paracoccus
NR_157004	Photobacterium
NR_157003	Bradyrhizobium
NR_157002	Sphingopyxis
NR_157001	Salinicola
NR_157000	Pseudoxanthomonas
NR_156999	Rodentibacter
NR_156998	Rodentibacter
NR_156997	Rodentibacter
NR_156996	Rodentibacter
NR_156995	Rodentibacter
NR_156994	Rodentibacter
NR_156993	Rodentibacter
NR_156992	Caulobacter
NR_156991	Paracandidimonas
NR_156990	Thioclava
NR_156989	Acinetobacter
NR_156988	Oleiagrimonas
NR_156987	Pseudomonas
NR_156986	Pseudomonas
NR_156985	Campylobacter
NR_156984	Nitratireductor
NR_156983	Salinovum
NR_156982	Desulfurobacterium
NR_156981	Alkaliphilus
NR_156980	Enterococcus
NR_156979	Paenibacillus
NR_156978	Paenibacillus
NR_156977	Desulfosporosinus
NR_156976	Desulfosporosinus
NR_156975	Marinisporobacter
NR_156974	Hymenobacter
NR_156973	Hymenobacter
NR_156972	Hymenobacter
NR_156971	Polaribacter
NR_156970	Sphingobacterium
NR_156969	Marivirga
NR_156968	Aquimarina
NR_156967	Salibacter
NR_156966	Flaviaesturariibacter
NR_156965	Emticicia
NR_156964	Chryseobacterium
NR_156963	Cloacibacterium
NR_156962	Sulfodiicoccus
NR_156961	Pyrobaculum
NR_156960	Saccharopolyspora
NR_156959	Tessaracoccus
NR_156958	Calidifontibacter
NR_156957	Actinomyces
NR_156956	Naumannella
NR_156955	Nesterenkonia
NR_156954	Microbacterium
NR_156953	Mycobacterium
NR_156952	Kibdelosporangium
NR_156951	Kibdelosporangium
NR_156950	Kibdelosporangium
NR_156949	Micromonospora
NR_156948	Actinomyces
NR_156947	Pseudonocardia
NR_156946	Nonomuraea
NR_156945	Streptomyces
NR_156944	Mangrovihabitans
NR_156942	Microbulbifer
NR_156941	Parahaliea
NR_156940	Vitiosangium
NR_156939	Vitiosangium
NR_156938	Rhodanobacter
NR_156937	Sulfuritortus
NR_156936	Arcobacter
NR_156935	Aquaspirillum
NR_156934	Psychromonas
NR_156933	Nioella
NR_156932	Rouxiella
NR_156931	Rouxiella
NR_156930	Mangrovibacter
NR_156929	Rhodanobacter
NR_156928	Hyphobacterium
NR_156927	Tibeticola
NR_156926	Neisseria
NR_156925	Xenorhabdus
NR_156924	Xenorhabdus
NR_156923	Pseudaminobacter
NR_156922	Halomonas
NR_156921	Noviherbaspirillum
NR_156920	Lysobacter
NR_156919	Sphingobacterium
NR_156918	Luteitalea
NR_156917	Dehalogenimonas
NR_156916	Treponema
NR_156915	Rectinema
NR_156914	Mariniblastus
NR_156913	Calorithrix
NR_156912	Defluviitalea
NR_156911	Fournierella
NR_156910	Dubosiella
NR_156909	Ileibacterium
NR_156908	Bacillus
NR_156907	Faecalimonas
NR_156906	Auricoccus
NR_156905	Paenibacillus
NR_156904	Paraliobacillus
NR_156903	Alkalicoccus
NR_156902	Streptococcus
NR_156901	Thermodesulfobium
NR_156900	Bacillus
NR_156899	Jeotgalibaca
NR_156898	Jeotgalibaca
